T_MeV,CSDA_gcm2
1.0,0.002311
1.2,0.007619
1.4,0.01368
1.7,0.02413
2.0,0.03616
2.5,0.05961
3.0,0.08713
3.5,0.1186
4.0,0.1539
4.5,0.1928
5.0,0.2353
5.5,0.2814
6.0,0.3308
7.0,0.4395
8.0,0.561
9.0,0.6946
10.0,0.84
12.0,1.164
14.0,1.53
17.0,2.152
20.0,2.854
25.0,4.183
30.0,5.687
35.0,7.343
40.0,9.133
45.0,11.04
50.0,13.05
55.0,15.15
60.0,17.34
70.0,21.92
80.0,26.75
90.0,31.77
100.0,36.95
120.0,47.68
140.0,58.78
170.0,75.88
200.0,93.31
250.0,122.7
300.0,152.3
350.0,181.9
400.0,211.4
450.0,240.8
500.0,270.0
550.0,299.1
600.0,327.9
700.0,385.2
800.0,441.8
900.0,497.9
1000.0,553.4
1200.0,663.1
1400.0,771.2
1700.0,930.9
2000.0,1088.0
2500.0,1346.0
3000.0,1599.0
3500.0,1848.0
4000.0,2095.0
4500.0,2339.0
5000.0,2581.0
5500.0,2821.0
6000.0,3059.0
7000.0,3531.0
8000.0,3998.0
9000.0,4461.0
10000.0,4920.0
12000.0,5827.0
14000.0,6724.0
17000.0,8051.0
20000.0,9360.0
25000.0,11510.0
30000.0,13620.0
35000.0,15710.0
40000.0,17760.0
45000.0,19790.0
50000.0,21800.0
55000.0,23790.0
60000.0,25750.0
70000.0,29630.0
80000.0,33430.0
90000.0,37170.0
100000.0,40840.0
120000.0,48000.0
140000.0,54950.0
170000.0,64980.0
200000.0,74590.0
250000.0,89770.0
300000.0,104000.0
350000.0,117500.0
400000.0,130200.0
450000.0,142300.0
500000.0,153800.0
550000.0,164700.0
600000.0,175200.0
700000.0,194800.0
800000.0,212900.0
900000.0,229600.0
1000000.0,245300.0
1200000.0,273700.0
1400000.0,299000.0
1700000.0,332400.0
2000000.0,361600.0
2500000.0,403200.0
3000000.0,438400.0
3500000.0,468800.0
4000000.0,495700.0
4500000.0,519700.0
5000000.0,541300.0
5500000.0,561100.0
6000000.0,579200.0
7000000.0,611700.0
8000000.0,640000.0
9000000.0,665100.0
10000000.0,687700.0
12000000.0,727000.0
14000000.0,760300.0
17000000.0,802500.0
20000000.0,837900.0
25000000.0,886600.0
30000000.0,926400.0
35000000.0,960100.0
40000000.0,989400.0
45000000.0,1015000.0
50000000.0,1038000.0
55000000.0,1059000.0
60000000.0,1078000.0
70000000.0,1112000.0
80000000.0,1141000.0
90000000.0,1166000.0
100000000.0,1189000.0
120000000.0,1229000.0
140000000.0,1263000.0
170000000.0,1305000.0
200000000.0,1340000.0
250000000.0,1389000.0
300000000.0,1429000.0
350000000.0,1463000.0
400000000.0,1492000.0
450000000.0,1518000.0
500000000.0,1541000.0
550000000.0,1562000.0
600000000.0,1581000.0
700000000.0,1614000.0
800000000.0,1644000.0
900000000.0,1669000.0
1000000000.0,1693000.0
